x_(px)  Y_(px)  Channel
2.97999 267.46715 1
3.00958 262.49539 2
3.67143 376.61498 1
4.03895 1005.99082  1
4.25159 248.74961 2
4.33166 504.20449 2
4.62709 294.00746 1
4.99079 341.24714 2
5.84073 380.38019 2
7.48206 1009.51627  2
7.49703 423.00068 2
8.02923 522.47946 1
8.45902 298.4152  2
8.81762 517.2614  2
8.83421 983.14672 2
9.38554 591.41637 1
10.95813  492.14811 2
11.67581  333.65644 1
11.82197  350.0472  2
11.96179  341.3263  1
12.27264  231.64652 2
12.626  247.62813 1
12.65667  595.98641 2
13.4308 267.85298 2
13.59931  382.99876 1
13.82673  295.25438 1
13.97079  516.02743 1
13.97393  286.99641 1
14.47608  224.44348 1
14.52769  337.41443 2
14.6018 250.72609 2
14.60578  188.97824 2
15.90517  367.3734  1
16.08772  580.47276 1
16.14074  278.60116 1
16.46403  283.63587 2
16.69844  212.03781 1
16.96346  494.99316 1
17.38579  372.46  2
18.41386  263.64055 1
18.52724  381.88619 2
18.7599 483.22772 2
19.42919  452.73838 2
19.52164  1012.5359 2
19.89463  560.65926 2
19.99426  194.0036  1
21.14466  582.02032 2
22.93642  215.53041 1
22.99301  386.47082 1
22.99323  243.10107 2
23.5419 430.54208 2
23.66721  297.61193 1
23.96716  230.474 1
23.97084  487.03997 1
24.30695  350.58364 2
24.77598  513.02815 2
24.95676  623.73903 2
24.96184  517.49392 1
25.46239  464.57734 2
25.52751  474.9322  1
25.90798  254.67137 2
25.93761  295.86439 2
25.97367  267.68392 2
26.0732 338.48931 2
26.75435  228.40327 2
26.92632  214.52557 2
29.08005  371.25308 1
29.08297  633.22155 2
29.40194  249.64275 1
29.52103  611.0285  2
29.63444  377.9262  2
29.80508  444.40022 2
30.2008 477.79193 2
30.59435  309.34551 2
30.76641  366.53166 2
30.78515  285.20411 2
30.98238  303.02705 1
31.06648  616.18043 1
31.81403  341.76602 1
31.88984  580.56936 1
31.93753  238.54227 2
32.56796  192.9016  1
33.24768  567.66689 1
33.55013  548.67466 2
33.61936  448.58179 1
35.11344  542.10558 1
35.15711  577.11486 2
36.01012  336.48683 2
36.13168  361.01429 1
36.72038  566.1679  2
36.90296  330.56351 1
37.00864  285.05057 1
37.44165  560.53346 1
37.56455  620.94321 2
37.58868  135.80965 2
37.95461  300.49586 1
38.9774 539.31509 2
39.47025  367.48586 1
40.99669  568.97025 1
41.19223  303.69955 2
41.21805  353.85218 2
42.32869  316.01482 2
42.43036  365.47315 2
42.57765  345.6644  1
42.60696  643.90726 1
43.01582  285.83731 2
43.16775  624.3681  1
43.52522  274.93853 2
45.02846  324.03887 1
45.9669 342.78082 2
46.24887  628.44439 2
46.35587  301.5166  1
46.93756  646.95384 2
47.00129  309.97325 1
