X (um)	Y (um)
	
12.48	29.77
11.24	24.09
16.12	20.69
20.08	26.17
18.4	29.05
17.16	30.45
	
21.04	25.25
18.28	22.93
17.68	21.73
17.76	19.41
18.92	16.49
21.76	17.01
24.04	18.65
24.52	21.01
22.04	24.45
	
12.68	21.41
15.68	20.45
17.56	16.37
15.68	13.77
14.12	12.13
13.96	11.33
12.92	11.09
9.96	9.65
8.4	10.41
6.04	10.69
6.2	13.73
5.76	16.45
9.44	19.45
12.04	21.33
	
3.56	17.33
1.64	15.93
0.12	13.77
0.52	11.57
3.4	9.85
5.16	9.69
6.24	11.61
6.28	12.93
5.88	14.73
5.84	15.69
4.32	17.21
	
10.36	8.73
11.36	6.41
16.44	2.57
19	6.73
21.68	9.93
18.04	15.49
16.16	14.01
14.68	12.69
14.24	11.45
11.8	10.33
11.6	8.09
10.6	7.13
	
18.8	15.45
20.84	11.49
23.56	8.73
26.48	7.81
30	10.93
29.52	14.49
28.4	16.13
25.08	16.73
23	16.89
20.92	16.81
19.6	16.09
	
4.12	9.13
2.36	5.57
1.4	2.53
1.24	1.37
6.72	1.29
10.6	5.93
10.92	7.29
9.44	9.13
7.08	9.81
4.68	9.37
